queue_order,source_id,relative_path,sha256,work_family,edition_status,suggested_locator_type,source_position_rule
0011,SRC-d19983cd5309c3da,final/asre_shirin/season-1/episode-05.md,d9cd9b5007aa4e56b846cb87ef3516b7c35af8b1fbd677f3bc5460250baf4615,متن ویدیو/asre_shirin,نسخه مرجع قفل‌شده,عنوان بخش و شماره قسمت,مسیر خانواده، فصل/قسمت، عنوان‌های Markdown و ترتیب بندها حفظ شود.
0012,SRC-3731e049b6b754aa,final/asre_shirin/season-1/episode-06.md,525b902a64414fe80d5f82b21d1614f08199f877955b27591e22e0d62bbfcb1d,متن ویدیو/asre_shirin,نسخه مرجع قفل‌شده,عنوان بخش و شماره قسمت,مسیر خانواده، فصل/قسمت، عنوان‌های Markdown و ترتیب بندها حفظ شود.
0013,SRC-648d34e6a6b110f1,final/asre_shirin/season-1/episode-07.md,2cc427d76f790ef04214b42a67f28c5bf8aef2dfec3eedadbd3d245bd73fb942,متن ویدیو/asre_shirin,نسخه مرجع قفل‌شده,عنوان بخش و شماره قسمت,مسیر خانواده، فصل/قسمت، عنوان‌های Markdown و ترتیب بندها حفظ شود.
0014,SRC-d469cd45ea9c5962,final/asre_shirin/season-1/episode-08.md,02bbc50d0cfeaef5d900c2485bd6d956baf572dd05db144732dfcd63f70a29d4,متن ویدیو/asre_shirin,نسخه مرجع قفل‌شده,عنوان بخش و شماره قسمت,مسیر خانواده، فصل/قسمت، عنوان‌های Markdown و ترتیب بندها حفظ شود.
0015,SRC-7a8feee31fccdc70,final/asre_shirin/season-1/episode-09.md,f52d47757d30fd28341f85bb391b6594056626c14ccb5011dc85fe591b90c402,متن ویدیو/asre_shirin,نسخه مرجع قفل‌شده,عنوان بخش و شماره قسمت,مسیر خانواده، فصل/قسمت، عنوان‌های Markdown و ترتیب بندها حفظ شود.
0016,SRC-0bccb67379c00082,final/asre_shirin/season-1/episode-10.md,123548a84964d0336847d1d611797b67ba27e2930cae6aba705bea1f6f60534e,متن ویدیو/asre_shirin,نسخه مرجع قفل‌شده,عنوان بخش و شماره قسمت,مسیر خانواده، فصل/قسمت، عنوان‌های Markdown و ترتیب بندها حفظ شود.
0017,SRC-f2361f5489385d3f,final/asre_shirin/season-1/episode-11.md,05f040c7df613ec87fdfd790609219a9c33e21f7e2636ea29496dd1dd5146a23,متن ویدیو/asre_shirin,نسخه مرجع قفل‌شده,عنوان بخش و شماره قسمت,مسیر خانواده، فصل/قسمت، عنوان‌های Markdown و ترتیب بندها حفظ شود.
0018,SRC-90c9f432f929ed45,final/asre_shirin/season-1/episode-12.md,cc5263afcc83b9f9221cecdf73f7c9074ac71b974ae7686c830cf99ca3ed6eaf,متن ویدیو/asre_shirin,نسخه مرجع قفل‌شده,عنوان بخش و شماره قسمت,مسیر خانواده، فصل/قسمت، عنوان‌های Markdown و ترتیب بندها حفظ شود.
0019,SRC-42bb263f87e0a588,final/asre_shirin/season-1/episode-13.md,41f5d0a2754b8a11942b487e0b51c4de5c506c232af00f63106a54ab68b03b75,متن ویدیو/asre_shirin,نسخه مرجع قفل‌شده,عنوان بخش و شماره قسمت,مسیر خانواده، فصل/قسمت، عنوان‌های Markdown و ترتیب بندها حفظ شود.
0020,SRC-3c2368bfd2cd07ee,final/asre_shirin/season-2/episode-14.md,447768b99572fcafc5ee136729c6f1a4c36f7f9e4d109d6f00e0a273b2583c07,متن ویدیو/asre_shirin,نسخه مرجع قفل‌شده,عنوان بخش و شماره قسمت,مسیر خانواده، فصل/قسمت، عنوان‌های Markdown و ترتیب بندها حفظ شود.
0021,SRC-8722f9de2cfffa38,final/asre_shirin/season-2/episode-15.md,db7a01cba3adfd7773e31e569009b8a05dc37115ed1b8357c897d6ed7a737dce,متن ویدیو/asre_shirin,نسخه مرجع قفل‌شده,عنوان بخش و شماره قسمت,مسیر خانواده، فصل/قسمت، عنوان‌های Markdown و ترتیب بندها حفظ شود.
0022,SRC-2a3908cc3c72c422,final/asre_shirin/season-2/episode-16.md,d81fca5f965c3ffa830bc4fa3dd0ef4154f92359b718b20ef9f536397f996e46,متن ویدیو/asre_shirin,نسخه مرجع قفل‌شده,عنوان بخش و شماره قسمت,مسیر خانواده، فصل/قسمت، عنوان‌های Markdown و ترتیب بندها حفظ شود.
0023,SRC-45fad00935073590,final/asre_shirin/season-2/episode-17.md,997b778611cca99c2a5f919fad8d7a99d4e1da0ec65b88b0d766105c61d9d507,متن ویدیو/asre_shirin,نسخه مرجع قفل‌شده,عنوان بخش و شماره قسمت,مسیر خانواده، فصل/قسمت، عنوان‌های Markdown و ترتیب بندها حفظ شود.
0024,SRC-e38a13e975400856,final/asre_shirin/season-2/episode-18.md,648df02ac7bc90a843f8ca04b00e21368636262c6e2a702d286bf97662c41166,متن ویدیو/asre_shirin,نسخه مرجع قفل‌شده,عنوان بخش و شماره قسمت,مسیر خانواده، فصل/قسمت، عنوان‌های Markdown و ترتیب بندها حفظ شود.
0025,SRC-196ef696627b8e09,final/asre_shirin/season-2/episode-19.md,772610fe456b7b5ac73a3e2628b8f6859c7d4707360d67ac933466c58140f2c7,متن ویدیو/asre_shirin,نسخه مرجع قفل‌شده,عنوان بخش و شماره قسمت,مسیر خانواده، فصل/قسمت، عنوان‌های Markdown و ترتیب بندها حفظ شود.
0026,SRC-96d724df22c241d5,final/asre_shirin/season-2/episode-20.md,c9a82550c7dd3b5f7350229bbefa3f5813b135d1b55f95e62f974174a0db9dcd,متن ویدیو/asre_shirin,نسخه مرجع قفل‌شده,عنوان بخش و شماره قسمت,مسیر خانواده، فصل/قسمت، عنوان‌های Markdown و ترتیب بندها حفظ شود.
0027,SRC-be8d87421d730724,final/asre_shirin/season-2/episode-21.md,4d8367b467466a8434bcf100aeb6d667e21e2c3afbcb0edf538bb34e83921985,متن ویدیو/asre_shirin,نسخه مرجع قفل‌شده,عنوان بخش و شماره قسمت,مسیر خانواده، فصل/قسمت، عنوان‌های Markdown و ترتیب بندها حفظ شود.
0028,SRC-9e012aaf73310c3a,final/asre_shirin/season-2/episode-22.md,a42fe317c2c83f651c62d0bd8c7af0746297c833d1bcf13d8f7e3af1a27f51a2,متن ویدیو/asre_shirin,نسخه مرجع قفل‌شده,عنوان بخش و شماره قسمت,مسیر خانواده، فصل/قسمت، عنوان‌های Markdown و ترتیب بندها حفظ شود.
0029,SRC-953abef1e684a739,final/asre_shirin/season-2/episode-23.md,74e8582c497ba7dbd1cfea4af654f3d89f9a51efafbe18b103ec445348552b5d,متن ویدیو/asre_shirin,نسخه مرجع قفل‌شده,عنوان بخش و شماره قسمت,مسیر خانواده، فصل/قسمت، عنوان‌های Markdown و ترتیب بندها حفظ شود.
0030,SRC-4e4f03bd4c063cff,final/asre_shirin/season-2/episode-24.md,8aaeeb225529e262e68f2588d766b6b4061186075f304dfb0c0f756ed0788ec3,متن ویدیو/asre_shirin,نسخه مرجع قفل‌شده,عنوان بخش و شماره قسمت,مسیر خانواده، فصل/قسمت، عنوان‌های Markdown و ترتیب بندها حفظ شود.
0031,SRC-0e2d65fb26c283f1,final/asre_shirin/season-2/episode-25.md,ffed37154759e1c6ce0a95779f53c038a6bca0f6a7e6b7e0f07782a63ccc8e7c,متن ویدیو/asre_shirin,نسخه مرجع قفل‌شده,عنوان بخش و شماره قسمت,مسیر خانواده، فصل/قسمت، عنوان‌های Markdown و ترتیب بندها حفظ شود.
0032,SRC-3b729d9fe08bf4aa,final/asre_shirin/season-2/episode-26.md,c640a72ac24141a0a7d67a5c437b24322b93c0849789369a9e6f4d1d1e2eab3f,متن ویدیو/asre_shirin,نسخه مرجع قفل‌شده,عنوان بخش و شماره قسمت,مسیر خانواده، فصل/قسمت، عنوان‌های Markdown و ترتیب بندها حفظ شود.
0033,SRC-61b0e56ec3897887,final/dar-jostojo-final-C/1.md,8fcb3083b7f4b2361eb5c053ab7dc19b6945b1ace112adfe22ec066ae3bed842,متن ویدیو/dar-jostojo-final-C,نسخه مرجع قفل‌شده,عنوان بخش و شماره قسمت,مسیر خانواده، فصل/قسمت، عنوان‌های Markdown و ترتیب بندها حفظ شود.
0034,SRC-5bace1de39884325,final/dar-jostojo-final-C/10.md,f0667c5926ac7c7dbe5a609ee4a89c402dca033ee02a68edb3fe6abbc3d01d88,متن ویدیو/dar-jostojo-final-C,نسخه مرجع قفل‌شده,عنوان بخش و شماره قسمت,مسیر خانواده، فصل/قسمت، عنوان‌های Markdown و ترتیب بندها حفظ شود.
0035,SRC-c8fb85b7bc02bc00,final/dar-jostojo-final-C/11.md,7cbab93420164787911ab6e3aacdd8dbcde6b13dcf18e0f4f0773857397d44e5,متن ویدیو/dar-jostojo-final-C,نسخه مرجع قفل‌شده,عنوان بخش و شماره قسمت,مسیر خانواده، فصل/قسمت، عنوان‌های Markdown و ترتیب بندها حفظ شود.
0036,SRC-dd9b01a5a51f766f,final/dar-jostojo-final-C/12.md,74086632c3e45b44a1d7a631b2c11951821a54eec0c03af4a85a4ec17767dd11,متن ویدیو/dar-jostojo-final-C,نسخه مرجع قفل‌شده,عنوان بخش و شماره قسمت,مسیر خانواده، فصل/قسمت، عنوان‌های Markdown و ترتیب بندها حفظ شود.
0037,SRC-1b3dbe9c505e3aee,final/dar-jostojo-final-C/13.md,63563917bc82fdb243dfef9a2a6fd9a1dbd33a4182cd01740164f9b7b42df8ab,متن ویدیو/dar-jostojo-final-C,نسخه مرجع قفل‌شده,عنوان بخش و شماره قسمت,مسیر خانواده، فصل/قسمت، عنوان‌های Markdown و ترتیب بندها حفظ شود.
0038,SRC-00047544b74d981d,final/dar-jostojo-final-C/14.md,6bd1bee93e706f777831b82967ff9b5da9f30851c6f67beb29252db7da2695e0,متن ویدیو/dar-jostojo-final-C,نسخه مرجع قفل‌شده,عنوان بخش و شماره قسمت,مسیر خانواده، فصل/قسمت، عنوان‌های Markdown و ترتیب بندها حفظ شود.
0039,SRC-86f4859e593ea36a,final/dar-jostojo-final-C/15.md,a1a27db7f7bd08066b1a18bf84a304ba3b3338e0d7be7e2db5b7275133accf32,متن ویدیو/dar-jostojo-final-C,نسخه مرجع قفل‌شده,عنوان بخش و شماره قسمت,مسیر خانواده، فصل/قسمت، عنوان‌های Markdown و ترتیب بندها حفظ شود.
0040,SRC-52bbafa82dc9638c,final/dar-jostojo-final-C/16.md,17ed99b7c13760acfd507d45be1a1da0c0c68f8f5fa4b68c376e563a8475c6e2,متن ویدیو/dar-jostojo-final-C,نسخه مرجع قفل‌شده,عنوان بخش و شماره قسمت,مسیر خانواده، فصل/قسمت، عنوان‌های Markdown و ترتیب بندها حفظ شود.
0041,SRC-c3eaf57e2a4070df,final/dar-jostojo-final-C/17.md,4feb121ebf4e40c9f9f90299b834430c8982dd42133989f7751b49ac8aa8e521,متن ویدیو/dar-jostojo-final-C,نسخه مرجع قفل‌شده,عنوان بخش و شماره قسمت,مسیر خانواده، فصل/قسمت، عنوان‌های Markdown و ترتیب بندها حفظ شود.
0042,SRC-66bf28255ddac177,final/dar-jostojo-final-C/18.md,0cc3de37f0df4018786698c912e48ad5b677e52be7cd76bdd66d5923ba4cae4c,متن ویدیو/dar-jostojo-final-C,نسخه مرجع قفل‌شده,عنوان بخش و شماره قسمت,مسیر خانواده، فصل/قسمت، عنوان‌های Markdown و ترتیب بندها حفظ شود.
0043,SRC-32d92ba07ba406ec,final/dar-jostojo-final-C/19.md,9d8763b1bddffb641a8b332cc6c746c5b3a8a9a83eafaa76582997da4567377f,متن ویدیو/dar-jostojo-final-C,نسخه مرجع قفل‌شده,عنوان بخش و شماره قسمت,مسیر خانواده، فصل/قسمت، عنوان‌های Markdown و ترتیب بندها حفظ شود.
0044,SRC-46b78b30823d2378,final/dar-jostojo-final-C/2.md,615334f2a7068101181d06781fb68670980edc0a7acf156533931c62f63574a1,متن ویدیو/dar-jostojo-final-C,نسخه مرجع قفل‌شده,عنوان بخش و شماره قسمت,مسیر خانواده، فصل/قسمت، عنوان‌های Markdown و ترتیب بندها حفظ شود.
0045,SRC-f9d17e344f35b3f3,final/dar-jostojo-final-C/20.md,c15dffd0e7d0a7c311e3f2a27418f73dec7c9095f1e13a2c7765598cd7434c60,متن ویدیو/dar-jostojo-final-C,نسخه مرجع قفل‌شده,عنوان بخش و شماره قسمت,مسیر خانواده، فصل/قسمت، عنوان‌های Markdown و ترتیب بندها حفظ شود.
0046,SRC-4002c7059c0483fd,final/dar-jostojo-final-C/22.md,e37ffc0bfce42d0df7b534afa619f67c240eed5413a8fe25bb397c6a8cbddf1e,متن ویدیو/dar-jostojo-final-C,نسخه مرجع قفل‌شده,عنوان بخش و شماره قسمت,مسیر خانواده، فصل/قسمت، عنوان‌های Markdown و ترتیب بندها حفظ شود.
0047,SRC-69b70d6e812a5dbc,final/dar-jostojo-final-C/23.md,0c0449d4604a4873b8aa56a1b1ccda51397e811f747950e1335e4caf3f473778,متن ویدیو/dar-jostojo-final-C,نسخه مرجع قفل‌شده,عنوان بخش و شماره قسمت,مسیر خانواده، فصل/قسمت، عنوان‌های Markdown و ترتیب بندها حفظ شود.
0048,SRC-801c1e8ed2b0533d,final/dar-jostojo-final-C/24.md,4b2bb76410486e5484097ba526719aa06e50ccbc7b6158ad955da5971762a1b3,متن ویدیو/dar-jostojo-final-C,نسخه مرجع قفل‌شده,عنوان بخش و شماره قسمت,مسیر خانواده، فصل/قسمت، عنوان‌های Markdown و ترتیب بندها حفظ شود.
0049,SRC-09bdd2ab68140026,final/dar-jostojo-final-C/25.md,ff2d008ce03fa5b8b984751a30f92b5ae403214dda9f3f95c00e636ea68a7b62,متن ویدیو/dar-jostojo-final-C,نسخه مرجع قفل‌شده,عنوان بخش و شماره قسمت,مسیر خانواده، فصل/قسمت، عنوان‌های Markdown و ترتیب بندها حفظ شود.
0050,SRC-2be088f03199c92c,final/dar-jostojo-final-C/26.md,c71260500ed47939c184730085bde01e809ee9ec16387b119ce5356e3c8067f6,متن ویدیو/dar-jostojo-final-C,نسخه مرجع قفل‌شده,عنوان بخش و شماره قسمت,مسیر خانواده، فصل/قسمت، عنوان‌های Markdown و ترتیب بندها حفظ شود.
0051,SRC-cd8e6bb82632f99c,final/dar-jostojo-final-C/27.md,b88c3296bbefd91f5aaf29d64e3fb8b14778b42bf4cea2ed43ebb647567f440c,متن ویدیو/dar-jostojo-final-C,نسخه مرجع قفل‌شده,عنوان بخش و شماره قسمت,مسیر خانواده، فصل/قسمت، عنوان‌های Markdown و ترتیب بندها حفظ شود.
0052,SRC-d0fbd1943a49ca54,final/dar-jostojo-final-C/28.md,2392bca31be9a77b10fa12784be823d8f785af0da3e13d689639e2646809b561,متن ویدیو/dar-jostojo-final-C,نسخه مرجع قفل‌شده,عنوان بخش و شماره قسمت,مسیر خانواده، فصل/قسمت، عنوان‌های Markdown و ترتیب بندها حفظ شود.
0053,SRC-2c23beb6b56213a9,final/dar-jostojo-final-C/29.md,28003e464dc3b2a9feec1e8a3d2a47cf528fd905673418682d6e31bb82fc3f05,متن ویدیو/dar-jostojo-final-C,نسخه مرجع قفل‌شده,عنوان بخش و شماره قسمت,مسیر خانواده، فصل/قسمت، عنوان‌های Markdown و ترتیب بندها حفظ شود.
0054,SRC-95da2e5ec22ef192,final/dar-jostojo-final-C/3.md,ff601641eb31a1cb52cfac8954d8191d0052dad23e2281757236f4e558bc3a33,متن ویدیو/dar-jostojo-final-C,نسخه مرجع قفل‌شده,عنوان بخش و شماره قسمت,مسیر خانواده، فصل/قسمت، عنوان‌های Markdown و ترتیب بندها حفظ شود.
0055,SRC-817b038b349e5904,final/dar-jostojo-final-C/30.md,fd9981bf6b6c46c256dc1e5dae844a86dc658a5701473f9a4676691194ef0f0d,متن ویدیو/dar-jostojo-final-C,نسخه مرجع قفل‌شده,عنوان بخش و شماره قسمت,مسیر خانواده، فصل/قسمت، عنوان‌های Markdown و ترتیب بندها حفظ شود.
0056,SRC-e8bcbf7e9460a793,final/dar-jostojo-final-C/4.md,b2b30b26e31a1c58b1aab0708e14c93f8a2adc04b960f69fa01caaf77926e892,متن ویدیو/dar-jostojo-final-C,نسخه مرجع قفل‌شده,عنوان بخش و شماره قسمت,مسیر خانواده، فصل/قسمت، عنوان‌های Markdown و ترتیب بندها حفظ شود.
0057,SRC-3f1dd8a2c54f7125,final/dar-jostojo-final-C/5.md,cf0b831a128e6b845c35d9211a043a5ec6efa54424ec6dc0aefcc2489dc98c91,متن ویدیو/dar-jostojo-final-C,نسخه مرجع قفل‌شده,عنوان بخش و شماره قسمت,مسیر خانواده، فصل/قسمت، عنوان‌های Markdown و ترتیب بندها حفظ شود.
0058,SRC-2b4dfb41d43fd386,final/dar-jostojo-final-C/6.md,242cc07d58147e11f01bb151580b0f3e52155a993991bacf90889b12bcaaa9d0,متن ویدیو/dar-jostojo-final-C,نسخه مرجع قفل‌شده,عنوان بخش و شماره قسمت,مسیر خانواده، فصل/قسمت، عنوان‌های Markdown و ترتیب بندها حفظ شود.
0059,SRC-c16514539ef61f9f,final/dar-jostojo-final-C/7.md,6b999106f47bdd621213d380b6a362fcd174c12b729d760938ad4538a09e23a2,متن ویدیو/dar-jostojo-final-C,نسخه مرجع قفل‌شده,عنوان بخش و شماره قسمت,مسیر خانواده، فصل/قسمت، عنوان‌های Markdown و ترتیب بندها حفظ شود.
0060,SRC-5d88c08386dc06b2,final/dar-jostojo-final-C/8.md,e71a188ecf8f24fd103ecbc094f994cf128cd1b7d851fa102a6271ad953fd895,متن ویدیو/dar-jostojo-final-C,نسخه مرجع قفل‌شده,عنوان بخش و شماره قسمت,مسیر خانواده، فصل/قسمت، عنوان‌های Markdown و ترتیب بندها حفظ شود.
0061,SRC-cd9fa5f7aa8c5dea,final/dar-jostojo-final-C/9.md,44fd8932fbc699ffc248880b7ff5473540b195cc9923358b2a110fb5bcaf2f28,متن ویدیو/dar-jostojo-final-C,نسخه مرجع قفل‌شده,عنوان بخش و شماره قسمت,مسیر خانواده، فصل/قسمت، عنوان‌های Markdown و ترتیب بندها حفظ شود.
0062,SRC-bb8f604c9edb4621,final/dar-jostojo-final-C/extracted/supplemental-whole-files/site-01.md,17a013d33fbb2e5f099f5dd2032ba0e4a8127d9e41bdb71d2a728156fe610b47,متن ویدیو/dar-jostojo-final-C,مکمل مستقل غیرمرجع,عنوان بخش و شماره قسمت,مسیر خانواده، فصل/قسمت، عنوان‌های Markdown و ترتیب بندها حفظ شود.
0063,SRC-e7a3a6f736cefeb9,final/dar-jostojo-final-C/extracted/supplemental-whole-files/site-02.md,57977ad851b86ae410622756469b539c87afe47a6e853526fa582ef8266a19f6,متن ویدیو/dar-jostojo-final-C,مکمل مستقل غیرمرجع,عنوان بخش و شماره قسمت,مسیر خانواده، فصل/قسمت، عنوان‌های Markdown و ترتیب بندها حفظ شود.
0064,SRC-d3e1b1b660d6babc,final/dar-jostojo-final-C/extracted/supplemental-whole-files/site-03.md,bb73dd0ff5eff252b17ea0141a4edb315a9f325503f4bfb7c06d6992c21278e0,متن ویدیو/dar-jostojo-final-C,مکمل مستقل غیرمرجع,عنوان بخش و شماره قسمت,مسیر خانواده، فصل/قسمت، عنوان‌های Markdown و ترتیب بندها حفظ شود.
0065,SRC-70ff1902cbac71c2,final/dar-jostojo-final-C/extracted/supplemental-whole-files/site-04.md,ac0b07d32bae1a6283f7618ceed024b8ae77604b3e3ce928511a56fd7200cd44,متن ویدیو/dar-jostojo-final-C,مکمل مستقل غیرمرجع,عنوان بخش و شماره قسمت,مسیر خانواده، فصل/قسمت، عنوان‌های Markdown و ترتیب بندها حفظ شود.
0066,SRC-88005a9dfbae3140,final/dar-jostojo-final-C/extracted/supplemental-whole-files/site-05.md,4cca6ef8f2e919bf7faf9d71dbddb9833578c7e8a0547d75e5bb5131c8816218,متن ویدیو/dar-jostojo-final-C,مکمل مستقل غیرمرجع,عنوان بخش و شماره قسمت,مسیر خانواده، فصل/قسمت، عنوان‌های Markdown و ترتیب بندها حفظ شود.
0067,SRC-727ab9959300aa96,final/dar-jostojo-final-C/extracted/supplemental-whole-files/site-06.md,13ae7d98d4bb09056038757868ac555cdace8407834c71719b9b8252579761bd,متن ویدیو/dar-jostojo-final-C,مکمل مستقل غیرمرجع,عنوان بخش و شماره قسمت,مسیر خانواده، فصل/قسمت، عنوان‌های Markdown و ترتیب بندها حفظ شود.
0068,SRC-2545b495ee889adb,final/dar-jostojo-final-C/extracted/supplemental-whole-files/site-07.md,ccfe2feec1307d543e391c6d932aafd8b3be08099340bd9eb8f5117f0b31e9be,متن ویدیو/dar-jostojo-final-C,مکمل مستقل غیرمرجع,عنوان بخش و شماره قسمت,مسیر خانواده، فصل/قسمت، عنوان‌های Markdown و ترتیب بندها حفظ شود.
0069,SRC-23e5d00e988b7d45,final/dar-jostojo-final-C/extracted/supplemental-whole-files/site-08.md,97846f7f116d565f8d649abe8cb682b454797836b07670303940627194010193,متن ویدیو/dar-jostojo-final-C,مکمل مستقل غیرمرجع,عنوان بخش و شماره قسمت,مسیر خانواده، فصل/قسمت، عنوان‌های Markdown و ترتیب بندها حفظ شود.
0070,SRC-d1d085f8105f2168,final/dar-jostojo-final-C/extracted/supplemental-whole-files/site-09.md,929c015dc801ab2a0228857e91bd98d3670e7d7438b149ad6105bc8518a94ce9,متن ویدیو/dar-jostojo-final-C,مکمل مستقل غیرمرجع,عنوان بخش و شماره قسمت,مسیر خانواده، فصل/قسمت، عنوان‌های Markdown و ترتیب بندها حفظ شود.
0071,SRC-af4d435d40e2a64c,final/dar-jostojo-final-C/extracted/supplemental-whole-files/site-10.md,eb3f15866b59d75dadb7209c0eba34a5b5fc85cdfc9d71bc038fb978847fefec,متن ویدیو/dar-jostojo-final-C,مکمل مستقل غیرمرجع,عنوان بخش و شماره قسمت,مسیر خانواده، فصل/قسمت، عنوان‌های Markdown و ترتیب بندها حفظ شود.
0072,SRC-ec344ff44146fb5c,final/dar-jostojo-final-C/extracted/supplemental-whole-files/site-26.md,0c469d0bb7477f4c6e7afc9b91d77d1035f5be4760a41a749372be3d45151671,متن ویدیو/dar-jostojo-final-C,مکمل مستقل غیرمرجع,عنوان بخش و شماره قسمت,مسیر خانواده، فصل/قسمت، عنوان‌های Markdown و ترتیب بندها حفظ شود.
0073,SRC-4474a57107b5651e,final/khane-to/episode-01.md,24734ffb57bf86b8da5379cdb9b839fdf27b89a6d2cdf8b73d352150d41231f7,متن ویدیو/khane-to,نسخه مرجع قفل‌شده,عنوان بخش و شماره قسمت,مسیر خانواده، فصل/قسمت، عنوان‌های Markdown و ترتیب بندها حفظ شود.
0074,SRC-47ffb1b205425f91,final/khane-to/episode-02.md,ac6f2fd53efe9215f99d4ad4a43b8cd179d73b30fd62888e7db4768ce1f508ff,متن ویدیو/khane-to,نسخه مرجع قفل‌شده,عنوان بخش و شماره قسمت,مسیر خانواده، فصل/قسمت، عنوان‌های Markdown و ترتیب بندها حفظ شود.
0075,SRC-39c7f940f0c97fd6,final/khane-to/episode-03.md,d8814c5a3d0fe086d640e1b90f2eabbd8831c06f65d534b0cbb81189d765fedf,متن ویدیو/khane-to,نسخه مرجع قفل‌شده,عنوان بخش و شماره قسمت,مسیر خانواده، فصل/قسمت، عنوان‌های Markdown و ترتیب بندها حفظ شود.
0076,SRC-b91f6d848f5d8ba0,final/khane-to/episode-04.md,7a272f508fdade3a3fcf17c7fe65ed54c2fce83f40751c768760d2b8c233c0d6,متن ویدیو/khane-to,نسخه مرجع قفل‌شده,عنوان بخش و شماره قسمت,مسیر خانواده، فصل/قسمت، عنوان‌های Markdown و ترتیب بندها حفظ شود.
0077,SRC-4e33acd18cda42fb,final/khane-to/episode-05.md,ebca11af27f2d5bf2dcb332bb654ab160f5e0772b5686bbbd0f7dd3a1d1e9702,متن ویدیو/khane-to,نسخه مرجع قفل‌شده,عنوان بخش و شماره قسمت,مسیر خانواده، فصل/قسمت، عنوان‌های Markdown و ترتیب بندها حفظ شود.
0078,SRC-dee50a098c321b7f,final/khane-to/episode-06.md,6ddc81abec711a301aba33e1fdf5d476af6c5198de3aa4de4eabfc1c05257fdf,متن ویدیو/khane-to,نسخه مرجع قفل‌شده,عنوان بخش و شماره قسمت,مسیر خانواده، فصل/قسمت، عنوان‌های Markdown و ترتیب بندها حفظ شود.
