source_id,relative_path,sha256,confirmed_role,work_family,edition_status,segmentation_eligibility,metadata_status,decision_basis,evidence_locator,review_status,issue_codes
SRC-79d01a4ce5fd5b74,book/01_money_and_me/03_final.pdf,3ccb2f93dc64b7827b92d42502ceef55f6ab9c754fc295b99dbac52c0cf358f0,نسخه قالبی مرجع,کتاب/01_money_and_me,بازنمایی PDF نسخه نهایی,غیرواجد,کافی,PDF مرجع انتشار است؛ برای جلوگیری از دو بار ورود همان ویرایش، DOCX نهایی ورودی قطعه‌بندی است.,book/README.md:3؛ governance/locks/BOOK_CORPUS_FINAL.json,تأییدشده,NAME_SIMILAR_CANDIDATE
SRC-9bf64b436e2fa466,book/01_money_and_me/04_changes_report.pdf,ee5c5c9e610b49424ed33bb4dc9398a44d3a10236f38a704f0a14c0fb1b7905d,گزارش تغییرات,کتاب/01_money_and_me,گزارش QA و منشأ,غیرواجد,کافی,قرارداد چهارفایلی آن را گزارش تغییرات/QA می‌داند، نه متن کتاب.,book/README.md:3؛ governance/locks/BOOK_CORPUS_FINAL.json,تأییدشده,NAME_SIMILAR_CANDIDATE
SRC-822927baf8baa512,book/02_savad_mali_baraye_hame/01_source.docx,242a8541432833984592c0c315b157a63a14404bb4d6953468e2777cc66960bd,فایل ماهوی,کتاب/02_savad_mali_baraye_hame,نسخه اصلی مکمل,واجد,قابل استنتاج از شواهد داخلی,قرارداد داخلی آن را original source می‌خواند و نگهداری‌اش را برای منشأ الزامی می‌داند.,book/README.md:3؛ governance/locks/BOOK_CORPUS_FINAL.json,تأییدشده,INSUFFICIENT_METADATA;NAME_SIMILAR_CANDIDATE
SRC-5f32a087e3b0c1b3,book/02_savad_mali_baraye_hame/02_final.docx,c356cebbda0a73a05e6de9dc2b84b7de0c9a160e3c4d9aca94d8e80ac9cda14e,فایل ماهوی,کتاب/02_savad_mali_baraye_hame,نسخه مرجع پذیرفته‌شده,واجد,قابل استنتاج از شواهد داخلی,قرارداد داخلی آن را Word نهایی تأییدشده و دارایی انتشار معرفی می‌کند.,book/README.md:3؛ governance/locks/BOOK_CORPUS_FINAL.json,تأییدشده,INSUFFICIENT_METADATA;NAME_SIMILAR_CANDIDATE
SRC-57c95fa332e4a770,book/02_savad_mali_baraye_hame/03_final.pdf,0262354248aefca22ee735e08b4152eda352e131b655bc37548d21b70c349bd7,نسخه قالبی مرجع,کتاب/02_savad_mali_baraye_hame,بازنمایی PDF نسخه نهایی,غیرواجد,قابل استنتاج از شواهد داخلی,PDF مرجع انتشار است؛ برای جلوگیری از دو بار ورود همان ویرایش، DOCX نهایی ورودی قطعه‌بندی است.,book/README.md:3؛ governance/locks/BOOK_CORPUS_FINAL.json,تأییدشده,INSUFFICIENT_METADATA;NAME_SIMILAR_CANDIDATE
SRC-775382652023b252,book/02_savad_mali_baraye_hame/04_changes_report.pdf,fb7152499ba8661ed66f99f5fc97817a205b1bc970f0a95a4a315367543381f0,گزارش تغییرات,کتاب/02_savad_mali_baraye_hame,گزارش QA و منشأ,غیرواجد,قابل استنتاج از شواهد داخلی,قرارداد چهارفایلی آن را گزارش تغییرات/QA می‌داند، نه متن کتاب.,book/README.md:3؛ governance/locks/BOOK_CORPUS_FINAL.json,تأییدشده,INSUFFICIENT_METADATA;NAME_SIMILAR_CANDIDATE
SRC-b9877698b9bd72b3,book/03_trainer_financial_literacy/01_source.docx,cc59e7e0586fab9e431c0bf96f837e6aeebb3563391cbe4bef823f6508afb19f,فایل ماهوی,کتاب/03_trainer_financial_literacy,نسخه اصلی مکمل,واجد,قابل استنتاج از شواهد داخلی,قرارداد داخلی آن را original source می‌خواند و نگهداری‌اش را برای منشأ الزامی می‌داند.,book/README.md:3؛ governance/locks/BOOK_CORPUS_FINAL.json,تأییدشده,INSUFFICIENT_METADATA;NAME_SIMILAR_CANDIDATE
SRC-942281047f765bd6,book/03_trainer_financial_literacy/02_final.docx,3e4096c998ce24d64b4f61ddf80b3150c4a93605e5273f84b5c8bc0f1ed04294,فایل ماهوی,کتاب/03_trainer_financial_literacy,نسخه مرجع پذیرفته‌شده,واجد,قابل استنتاج از شواهد داخلی,قرارداد داخلی آن را Word نهایی تأییدشده و دارایی انتشار معرفی می‌کند.,book/README.md:3؛ governance/locks/BOOK_CORPUS_FINAL.json,تأییدشده,INSUFFICIENT_METADATA;NAME_SIMILAR_CANDIDATE
SRC-88707a7c6b1a981e,book/03_trainer_financial_literacy/03_final.pdf,8e17d9fba9b2be380b4e868927b41a9e9f369a29526d8d1566dbbb797849a214,نسخه قالبی مرجع,کتاب/03_trainer_financial_literacy,بازنمایی PDF نسخه نهایی,غیرواجد,قابل استنتاج از شواهد داخلی,PDF مرجع انتشار است؛ برای جلوگیری از دو بار ورود همان ویرایش، DOCX نهایی ورودی قطعه‌بندی است.,book/README.md:3؛ governance/locks/BOOK_CORPUS_FINAL.json,تأییدشده,INSUFFICIENT_METADATA;NAME_SIMILAR_CANDIDATE
SRC-57c15f2056a8dbe9,book/03_trainer_financial_literacy/04_changes_report.pdf,210a0868cd8978459e7794363d86ab049afd324855f01440ecb52a7a3d151d3a,گزارش تغییرات,کتاب/03_trainer_financial_literacy,گزارش QA و منشأ,غیرواجد,قابل استنتاج از شواهد داخلی,قرارداد چهارفایلی آن را گزارش تغییرات/QA می‌داند، نه متن کتاب.,book/README.md:3؛ governance/locks/BOOK_CORPUS_FINAL.json,تأییدشده,INSUFFICIENT_METADATA;NAME_SIMILAR_CANDIDATE
SRC-a34baa413136583e,book/README.md,a83e372b7d9c724243ffe2d7eff857ce65d24dcf89174d5bf83fe6cf5fb1fa88,راهنمای پیکره,کتاب‌ها,سند قرارداد نسخه‌ها,غیرواجد,قابل استنتاج از شواهد داخلی,قرارداد صریح چهار دارایی هر کتاب و کاربرد انتشار/RAG را ثبت می‌کند.,book/README.md:1,تأییدشده,INSUFFICIENT_METADATA;NAME_SIMILAR_CANDIDATE
SRC-ea9a8234bf9020de,docs/final-book/00_REPOSITORY_PREFLIGHT.md,caf46ca9f6b77fd2397aa72540f97e6dfa09a867be5e8ea0e9017271ca86f7df,گزارش ممیزی پیکره,راهبری کتاب نهایی,گزارش وضعیت قفل‌ها,غیرواجد,قابل استنتاج از شواهد داخلی,محتوا شمارش Canonical/Supplemental/Review-only و ریسک‌های حل‌نشده را گزارش می‌کند؛ متن ماهوی نیست.,docs/final-book/00_REPOSITORY_PREFLIGHT.md:1-26,تأییدشده,INSUFFICIENT_METADATA
SRC-b512205f94493d63,docs/final-book/01_VIDEO_CORPUS_AUDIT.md,19ae4078708ea8b5ee14e184f9585a458f8ea8e172b1f8b8fb128b4aa25069e6,گزارش ممیزی پیکره,راهبری و ممیزی,گزارش پشتیبان تصمیم,غیرواجد,قابل استنتاج از شواهد داخلی,محتوا نتیجه ممیزی، شمارش و محدودیت منابع را ثبت می‌کند؛ متن ماهوی کتاب نیست.,docs/final-book/01_VIDEO_CORPUS_AUDIT.md:1,تأییدشده,INSUFFICIENT_METADATA
SRC-6ec2f4a1940b8fa5,final/asre_shirin/season-1/episode-01.md,20cf712339d1abceb646f2f50b43ff7826ebd046871a3124e1129ba0f8ed1013,فایل ماهوی,متن ویدیو/asre_shirin,نسخه مرجع قفل‌شده,واجد,قابل استنتاج از شواهد داخلی,lock پیکره این مسیر را CANONICAL و دارای متن معنادار ثبت کرده است. نبود ویدیوی متناظر محدودیت تطبیق است، نه دلیل حذف متن.,governance/locks/VIDEO_TRANSCRIPTS_FINAL.json files[path=final/asre_shirin/season-1/episode-01.md]؛ final/asre_shirin/season-1/episode-01.md:1,تأییدشده,INSUFFICIENT_METADATA;NAME_SIMILAR_CANDIDATE;VIDEO_COUNTERPART_ABSENT
SRC-c9eec26944767da1,final/asre_shirin/season-1/episode-02.md,2237c8e374b319221fde7d8a8aed32f0506103398d6e4c46f86925328273b5c5,فایل ماهوی,متن ویدیو/asre_shirin,نسخه مرجع قفل‌شده,واجد,قابل استنتاج از شواهد داخلی,lock پیکره این مسیر را CANONICAL و دارای متن معنادار ثبت کرده است. نبود ویدیوی متناظر محدودیت تطبیق است، نه دلیل حذف متن.,governance/locks/VIDEO_TRANSCRIPTS_FINAL.json files[path=final/asre_shirin/season-1/episode-02.md]؛ final/asre_shirin/season-1/episode-02.md:1,تأییدشده,INSUFFICIENT_METADATA;NAME_SIMILAR_CANDIDATE;VIDEO_COUNTERPART_ABSENT
SRC-7ae84b70ca3619d8,final/asre_shirin/season-1/episode-03.md,7db1ebab113ada8284606ab7c5bd7e4b073f0a8231a9870137d630019e0d095c,فایل ماهوی,متن ویدیو/asre_shirin,نسخه مرجع قفل‌شده,واجد,قابل استنتاج از شواهد داخلی,lock پیکره این مسیر را CANONICAL و دارای متن معنادار ثبت کرده است. نبود ویدیوی متناظر محدودیت تطبیق است، نه دلیل حذف متن.,governance/locks/VIDEO_TRANSCRIPTS_FINAL.json files[path=final/asre_shirin/season-1/episode-03.md]؛ final/asre_shirin/season-1/episode-03.md:1,تأییدشده,INSUFFICIENT_METADATA;NAME_SIMILAR_CANDIDATE;VIDEO_COUNTERPART_ABSENT
SRC-aceafcf371c140e1,final/asre_shirin/season-1/episode-04.md,b4541605f8b3930c820cafe70b8dd68765ce630549cc0c59b8b1273da5fa2066,فایل ماهوی,متن ویدیو/asre_shirin,نسخه مرجع قفل‌شده,واجد,قابل استنتاج از شواهد داخلی,lock پیکره این مسیر را CANONICAL و دارای متن معنادار ثبت کرده است. نبود ویدیوی متناظر محدودیت تطبیق است، نه دلیل حذف متن.,governance/locks/VIDEO_TRANSCRIPTS_FINAL.json files[path=final/asre_shirin/season-1/episode-04.md]؛ final/asre_shirin/season-1/episode-04.md:1,تأییدشده,INSUFFICIENT_METADATA;NAME_SIMILAR_CANDIDATE;VIDEO_COUNTERPART_ABSENT
SRC-d19983cd5309c3da,final/asre_shirin/season-1/episode-05.md,d9cd9b5007aa4e56b846cb87ef3516b7c35af8b1fbd677f3bc5460250baf4615,فایل ماهوی,متن ویدیو/asre_shirin,نسخه مرجع قفل‌شده,واجد,قابل استنتاج از شواهد داخلی,lock پیکره این مسیر را CANONICAL و دارای متن معنادار ثبت کرده است. نبود ویدیوی متناظر محدودیت تطبیق است، نه دلیل حذف متن.,governance/locks/VIDEO_TRANSCRIPTS_FINAL.json files[path=final/asre_shirin/season-1/episode-05.md]؛ final/asre_shirin/season-1/episode-05.md:1,تأییدشده,INSUFFICIENT_METADATA;NAME_SIMILAR_CANDIDATE;VIDEO_COUNTERPART_ABSENT
SRC-3731e049b6b754aa,final/asre_shirin/season-1/episode-06.md,525b902a64414fe80d5f82b21d1614f08199f877955b27591e22e0d62bbfcb1d,فایل ماهوی,متن ویدیو/asre_shirin,نسخه مرجع قفل‌شده,واجد,قابل استنتاج از شواهد داخلی,lock پیکره این مسیر را CANONICAL و دارای متن معنادار ثبت کرده است. نبود ویدیوی متناظر محدودیت تطبیق است، نه دلیل حذف متن.,governance/locks/VIDEO_TRANSCRIPTS_FINAL.json files[path=final/asre_shirin/season-1/episode-06.md]؛ final/asre_shirin/season-1/episode-06.md:1,تأییدشده,INSUFFICIENT_METADATA;NAME_SIMILAR_CANDIDATE;VIDEO_COUNTERPART_ABSENT
SRC-648d34e6a6b110f1,final/asre_shirin/season-1/episode-07.md,2cc427d76f790ef04214b42a67f28c5bf8aef2dfec3eedadbd3d245bd73fb942,فایل ماهوی,متن ویدیو/asre_shirin,نسخه مرجع قفل‌شده,واجد,قابل استنتاج از شواهد داخلی,lock پیکره این مسیر را CANONICAL و دارای متن معنادار ثبت کرده است. نبود ویدیوی متناظر محدودیت تطبیق است، نه دلیل حذف متن.,governance/locks/VIDEO_TRANSCRIPTS_FINAL.json files[path=final/asre_shirin/season-1/episode-07.md]؛ final/asre_shirin/season-1/episode-07.md:1,تأییدشده,INSUFFICIENT_METADATA;NAME_SIMILAR_CANDIDATE;VIDEO_COUNTERPART_ABSENT
SRC-d469cd45ea9c5962,final/asre_shirin/season-1/episode-08.md,02bbc50d0cfeaef5d900c2485bd6d956baf572dd05db144732dfcd63f70a29d4,فایل ماهوی,متن ویدیو/asre_shirin,نسخه مرجع قفل‌شده,واجد,قابل استنتاج از شواهد داخلی,lock پیکره این مسیر را CANONICAL و دارای متن معنادار ثبت کرده است. نبود ویدیوی متناظر محدودیت تطبیق است، نه دلیل حذف متن.,governance/locks/VIDEO_TRANSCRIPTS_FINAL.json files[path=final/asre_shirin/season-1/episode-08.md]؛ final/asre_shirin/season-1/episode-08.md:1,تأییدشده,INSUFFICIENT_METADATA;NAME_SIMILAR_CANDIDATE;VIDEO_COUNTERPART_ABSENT
SRC-7a8feee31fccdc70,final/asre_shirin/season-1/episode-09.md,f52d47757d30fd28341f85bb391b6594056626c14ccb5011dc85fe591b90c402,فایل ماهوی,متن ویدیو/asre_shirin,نسخه مرجع قفل‌شده,واجد,قابل استنتاج از شواهد داخلی,lock پیکره این مسیر را CANONICAL و دارای متن معنادار ثبت کرده است. نبود ویدیوی متناظر محدودیت تطبیق است، نه دلیل حذف متن.,governance/locks/VIDEO_TRANSCRIPTS_FINAL.json files[path=final/asre_shirin/season-1/episode-09.md]؛ final/asre_shirin/season-1/episode-09.md:1,تأییدشده,INSUFFICIENT_METADATA;NAME_SIMILAR_CANDIDATE;VIDEO_COUNTERPART_ABSENT
SRC-0bccb67379c00082,final/asre_shirin/season-1/episode-10.md,123548a84964d0336847d1d611797b67ba27e2930cae6aba705bea1f6f60534e,فایل ماهوی,متن ویدیو/asre_shirin,نسخه مرجع قفل‌شده,واجد,قابل استنتاج از شواهد داخلی,lock پیکره این مسیر را CANONICAL و دارای متن معنادار ثبت کرده است. نبود ویدیوی متناظر محدودیت تطبیق است، نه دلیل حذف متن.,governance/locks/VIDEO_TRANSCRIPTS_FINAL.json files[path=final/asre_shirin/season-1/episode-10.md]؛ final/asre_shirin/season-1/episode-10.md:1,تأییدشده,INSUFFICIENT_METADATA;NAME_SIMILAR_CANDIDATE;VIDEO_COUNTERPART_ABSENT
SRC-f2361f5489385d3f,final/asre_shirin/season-1/episode-11.md,05f040c7df613ec87fdfd790609219a9c33e21f7e2636ea29496dd1dd5146a23,فایل ماهوی,متن ویدیو/asre_shirin,نسخه مرجع قفل‌شده,واجد,قابل استنتاج از شواهد داخلی,lock پیکره این مسیر را CANONICAL و دارای متن معنادار ثبت کرده است. نبود ویدیوی متناظر محدودیت تطبیق است، نه دلیل حذف متن.,governance/locks/VIDEO_TRANSCRIPTS_FINAL.json files[path=final/asre_shirin/season-1/episode-11.md]؛ final/asre_shirin/season-1/episode-11.md:1,تأییدشده,INSUFFICIENT_METADATA;NAME_SIMILAR_CANDIDATE;VIDEO_COUNTERPART_ABSENT
SRC-90c9f432f929ed45,final/asre_shirin/season-1/episode-12.md,cc5263afcc83b9f9221cecdf73f7c9074ac71b974ae7686c830cf99ca3ed6eaf,فایل ماهوی,متن ویدیو/asre_shirin,نسخه مرجع قفل‌شده,واجد,قابل استنتاج از شواهد داخلی,lock پیکره این مسیر را CANONICAL و دارای متن معنادار ثبت کرده است. نبود ویدیوی متناظر محدودیت تطبیق است، نه دلیل حذف متن.,governance/locks/VIDEO_TRANSCRIPTS_FINAL.json files[path=final/asre_shirin/season-1/episode-12.md]؛ final/asre_shirin/season-1/episode-12.md:1,تأییدشده,INSUFFICIENT_METADATA;NAME_SIMILAR_CANDIDATE;VIDEO_COUNTERPART_ABSENT
SRC-42bb263f87e0a588,final/asre_shirin/season-1/episode-13.md,41f5d0a2754b8a11942b487e0b51c4de5c506c232af00f63106a54ab68b03b75,فایل ماهوی,متن ویدیو/asre_shirin,نسخه مرجع قفل‌شده,واجد,قابل استنتاج از شواهد داخلی,lock پیکره این مسیر را CANONICAL و دارای متن معنادار ثبت کرده است. نبود ویدیوی متناظر محدودیت تطبیق است، نه دلیل حذف متن.,governance/locks/VIDEO_TRANSCRIPTS_FINAL.json files[path=final/asre_shirin/season-1/episode-13.md]؛ final/asre_shirin/season-1/episode-13.md:1,تأییدشده,INSUFFICIENT_METADATA;NAME_SIMILAR_CANDIDATE;VIDEO_COUNTERPART_ABSENT
SRC-3c2368bfd2cd07ee,final/asre_shirin/season-2/episode-14.md,447768b99572fcafc5ee136729c6f1a4c36f7f9e4d109d6f00e0a273b2583c07,فایل ماهوی,متن ویدیو/asre_shirin,نسخه مرجع قفل‌شده,واجد,قابل استنتاج از شواهد داخلی,lock پیکره این مسیر را CANONICAL و دارای متن معنادار ثبت کرده است. نبود ویدیوی متناظر محدودیت تطبیق است، نه دلیل حذف متن.,governance/locks/VIDEO_TRANSCRIPTS_FINAL.json files[path=final/asre_shirin/season-2/episode-14.md]؛ final/asre_shirin/season-2/episode-14.md:1,تأییدشده,INSUFFICIENT_METADATA;NAME_SIMILAR_CANDIDATE;VIDEO_COUNTERPART_ABSENT
SRC-8722f9de2cfffa38,final/asre_shirin/season-2/episode-15.md,db7a01cba3adfd7773e31e569009b8a05dc37115ed1b8357c897d6ed7a737dce,فایل ماهوی,متن ویدیو/asre_shirin,نسخه مرجع قفل‌شده,واجد,قابل استنتاج از شواهد داخلی,lock پیکره این مسیر را CANONICAL و دارای متن معنادار ثبت کرده است. نبود ویدیوی متناظر محدودیت تطبیق است، نه دلیل حذف متن.,governance/locks/VIDEO_TRANSCRIPTS_FINAL.json files[path=final/asre_shirin/season-2/episode-15.md]؛ final/asre_shirin/season-2/episode-15.md:1,تأییدشده,INSUFFICIENT_METADATA;NAME_SIMILAR_CANDIDATE;VIDEO_COUNTERPART_ABSENT
SRC-2a3908cc3c72c422,final/asre_shirin/season-2/episode-16.md,d81fca5f965c3ffa830bc4fa3dd0ef4154f92359b718b20ef9f536397f996e46,فایل ماهوی,متن ویدیو/asre_shirin,نسخه مرجع قفل‌شده,واجد,قابل استنتاج از شواهد داخلی,lock پیکره این مسیر را CANONICAL و دارای متن معنادار ثبت کرده است. نبود ویدیوی متناظر محدودیت تطبیق است، نه دلیل حذف متن.,governance/locks/VIDEO_TRANSCRIPTS_FINAL.json files[path=final/asre_shirin/season-2/episode-16.md]؛ final/asre_shirin/season-2/episode-16.md:1,تأییدشده,INSUFFICIENT_METADATA;NAME_SIMILAR_CANDIDATE;VIDEO_COUNTERPART_ABSENT
SRC-45fad00935073590,final/asre_shirin/season-2/episode-17.md,997b778611cca99c2a5f919fad8d7a99d4e1da0ec65b88b0d766105c61d9d507,فایل ماهوی,متن ویدیو/asre_shirin,نسخه مرجع قفل‌شده,واجد,قابل استنتاج از شواهد داخلی,lock پیکره این مسیر را CANONICAL و دارای متن معنادار ثبت کرده است. نبود ویدیوی متناظر محدودیت تطبیق است، نه دلیل حذف متن.,governance/locks/VIDEO_TRANSCRIPTS_FINAL.json files[path=final/asre_shirin/season-2/episode-17.md]؛ final/asre_shirin/season-2/episode-17.md:1,تأییدشده,INSUFFICIENT_METADATA;NAME_SIMILAR_CANDIDATE;VIDEO_COUNTERPART_ABSENT
SRC-e38a13e975400856,final/asre_shirin/season-2/episode-18.md,648df02ac7bc90a843f8ca04b00e21368636262c6e2a702d286bf97662c41166,فایل ماهوی,متن ویدیو/asre_shirin,نسخه مرجع قفل‌شده,واجد,قابل استنتاج از شواهد داخلی,lock پیکره این مسیر را CANONICAL و دارای متن معنادار ثبت کرده است. نبود ویدیوی متناظر محدودیت تطبیق است، نه دلیل حذف متن.,governance/locks/VIDEO_TRANSCRIPTS_FINAL.json files[path=final/asre_shirin/season-2/episode-18.md]؛ final/asre_shirin/season-2/episode-18.md:1,تأییدشده,INSUFFICIENT_METADATA;NAME_SIMILAR_CANDIDATE;VIDEO_COUNTERPART_ABSENT
SRC-196ef696627b8e09,final/asre_shirin/season-2/episode-19.md,772610fe456b7b5ac73a3e2628b8f6859c7d4707360d67ac933466c58140f2c7,فایل ماهوی,متن ویدیو/asre_shirin,نسخه مرجع قفل‌شده,واجد,قابل استنتاج از شواهد داخلی,lock پیکره این مسیر را CANONICAL و دارای متن معنادار ثبت کرده است. نبود ویدیوی متناظر محدودیت تطبیق است، نه دلیل حذف متن.,governance/locks/VIDEO_TRANSCRIPTS_FINAL.json files[path=final/asre_shirin/season-2/episode-19.md]؛ final/asre_shirin/season-2/episode-19.md:1,تأییدشده,INSUFFICIENT_METADATA;NAME_SIMILAR_CANDIDATE;VIDEO_COUNTERPART_ABSENT
SRC-96d724df22c241d5,final/asre_shirin/season-2/episode-20.md,c9a82550c7dd3b5f7350229bbefa3f5813b135d1b55f95e62f974174a0db9dcd,فایل ماهوی,متن ویدیو/asre_shirin,نسخه مرجع قفل‌شده,واجد,قابل استنتاج از شواهد داخلی,lock پیکره این مسیر را CANONICAL و دارای متن معنادار ثبت کرده است. نبود ویدیوی متناظر محدودیت تطبیق است، نه دلیل حذف متن.,governance/locks/VIDEO_TRANSCRIPTS_FINAL.json files[path=final/asre_shirin/season-2/episode-20.md]؛ final/asre_shirin/season-2/episode-20.md:1,تأییدشده,INSUFFICIENT_METADATA;NAME_SIMILAR_CANDIDATE;VIDEO_COUNTERPART_ABSENT
SRC-be8d87421d730724,final/asre_shirin/season-2/episode-21.md,4d8367b467466a8434bcf100aeb6d667e21e2c3afbcb0edf538bb34e83921985,فایل ماهوی,متن ویدیو/asre_shirin,نسخه مرجع قفل‌شده,واجد,قابل استنتاج از شواهد داخلی,lock پیکره این مسیر را CANONICAL و دارای متن معنادار ثبت کرده است. نبود ویدیوی متناظر محدودیت تطبیق است، نه دلیل حذف متن.,governance/locks/VIDEO_TRANSCRIPTS_FINAL.json files[path=final/asre_shirin/season-2/episode-21.md]؛ final/asre_shirin/season-2/episode-21.md:1,تأییدشده,INSUFFICIENT_METADATA;NAME_SIMILAR_CANDIDATE;VIDEO_COUNTERPART_ABSENT
SRC-9e012aaf73310c3a,final/asre_shirin/season-2/episode-22.md,a42fe317c2c83f651c62d0bd8c7af0746297c833d1bcf13d8f7e3af1a27f51a2,فایل ماهوی,متن ویدیو/asre_shirin,نسخه مرجع قفل‌شده,واجد,قابل استنتاج از شواهد داخلی,lock پیکره این مسیر را CANONICAL و دارای متن معنادار ثبت کرده است. نبود ویدیوی متناظر محدودیت تطبیق است، نه دلیل حذف متن.,governance/locks/VIDEO_TRANSCRIPTS_FINAL.json files[path=final/asre_shirin/season-2/episode-22.md]؛ final/asre_shirin/season-2/episode-22.md:1,تأییدشده,INSUFFICIENT_METADATA;NAME_SIMILAR_CANDIDATE;VIDEO_COUNTERPART_ABSENT
SRC-953abef1e684a739,final/asre_shirin/season-2/episode-23.md,74e8582c497ba7dbd1cfea4af654f3d89f9a51efafbe18b103ec445348552b5d,فایل ماهوی,متن ویدیو/asre_shirin,نسخه مرجع قفل‌شده,واجد,قابل استنتاج از شواهد داخلی,lock پیکره این مسیر را CANONICAL و دارای متن معنادار ثبت کرده است. نبود ویدیوی متناظر محدودیت تطبیق است، نه دلیل حذف متن.,governance/locks/VIDEO_TRANSCRIPTS_FINAL.json files[path=final/asre_shirin/season-2/episode-23.md]؛ final/asre_shirin/season-2/episode-23.md:1,تأییدشده,INSUFFICIENT_METADATA;NAME_SIMILAR_CANDIDATE;VIDEO_COUNTERPART_ABSENT
